,channelTitle,viewCount,likeCount,definition,commentCount,caption,subscribers,totalViews,totalVideos,avg polarity score,pushblishYear,durationSecs,tagCount,title length,description length,Label
218,3,80175,1486,0,46,0,1710000,347648425,2320,0.3168433198,2021,651.0,366,14,839,1
219,3,86551,1435,0,28,0,1710000,347648425,2320,0.3265581818,2021,950.0,331,34,979,1
220,3,34794,533,0,28,0,1710000,347648425,2320,0.3215887043,2021,501.0,283,32,838,1
221,3,49122,772,0,15,0,1710000,347648425,2320,0.3266530351,2021,385.0,396,32,764,1
222,3,84721,1687,0,33,0,1710000,347648425,2320,0.3315699422,2021,409.0,401,45,734,1
223,3,45049,721,0,18,0,1710000,347648425,2320,0.333607967,2021,743.0,341,43,1027,1
224,3,43075,659,0,20,0,1710000,347648425,2320,0.3262330688,2021,448.0,321,27,856,1
225,3,57477,783,0,31,0,1710000,347648425,2320,0.3270833747,2021,481.0,426,17,653,1
226,3,205298,3633,0,47,0,1710000,347648425,2320,0.3290434004,2021,529.0,286,43,858,1
227,3,101566,1497,0,23,0,1710000,347648425,2320,0.3314034335,2021,680.0,284,23,858,1
228,3,124059,2230,0,29,0,1710000,347648425,2320,0.3341026477,2021,906.0,359,38,1057,1
229,3,59679,808,0,22,0,1710000,347648425,2320,0.3311338583,2021,881.0,346,45,1440,1
230,3,22410,299,0,7,0,1710000,347648425,2320,0.3327009728,2021,714.0,375,45,1414,1
231,3,85187,1553,0,27,0,1710000,347648425,2320,0.3394394444,2021,413.0,458,37,801,1
232,3,29392,508,0,16,0,1710000,347648425,2320,0.3416681655,2021,460.0,361,28,737,1
233,3,48957,853,0,18,0,1710000,347648425,2320,0.3426924825,2021,768.0,391,28,728,1
234,3,23265,426,0,18,0,1710000,347648425,2320,0.3398936426,2021,596.0,411,52,617,1
235,3,19846,324,0,7,0,1710000,347648425,2320,0.3395840407,2021,749.0,412,44,1270,1
236,3,15178,238,0,29,0,1710000,347648425,2320,0.3350372323,2021,511.0,361,44,1891,1
237,3,102060,1969,0,43,0,1710000,347648425,2320,0.3331516432,2021,925.0,412,37,605,1
238,3,38310,656,0,20,0,1710000,347648425,2320,0.3334700763,2021,709.0,406,42,696,1
239,3,64519,1144,0,26,0,1710000,347648425,2320,0.334824184,2021,1144.0,360,38,651,1
240,3,30984,446,0,26,0,1710000,347648425,2320,0.3356426323,2021,1318.0,404,40,710,1
241,3,31429,427,0,16,0,1710000,347648425,2320,0.3334576438,2021,1299.0,295,35,1027,1
242,3,15881,195,0,29,0,1710000,347648425,2320,0.3336018919,2021,696.0,401,35,750,1
243,0,16700,455,0,33,0,393000,20878842,237,0.4104592593,2020,217.0,429,61,2196,1
244,0,5269,144,0,10,0,393000,20878842,237,0.3814972222,2020,261.0,429,42,2294,1
245,0,5041,87,0,4,0,393000,20878842,237,0.3603325,2020,193.0,429,42,2253,1
246,0,6964,112,0,2,0,393000,20878842,237,0.3517738095,2020,366.0,431,53,2003,1
247,0,5038,82,0,6,0,393000,20878842,237,0.3548895833,2020,266.0,429,46,1999,1
248,0,4442,213,0,8,0,393000,20878842,237,0.3630357143,2020,529.0,429,37,2260,1
249,0,3370,70,0,4,0,393000,20878842,237,0.3407383333,2020,342.0,429,35,1995,1
250,0,2731,53,0,3,0,393000,20878842,237,0.3481412698,2020,275.0,429,41,2003,1
251,0,9301,157,0,10,0,393000,20878842,237,0.3585191781,2020,268.0,429,36,1995,1
252,0,6157,116,0,6,0,393000,20878842,237,0.3507291139,2020,322.0,429,42,2006,1
253,0,2597,56,0,3,0,393000,20878842,237,0.3417780488,2020,307.0,429,34,2002,1
254,0,2666,67,0,3,0,393000,20878842,237,0.3374285714,2020,263.0,429,34,1998,1
255,0,2807,90,0,7,0,393000,20878842,237,0.3354604396,2020,348.0,429,40,2007,1
256,0,3088,75,0,3,0,393000,20878842,237,0.3247542553,2020,360.0,429,38,2001,1
257,0,2632,44,0,1,0,393000,20878842,237,0.3213357895,2020,152.0,429,47,2000,1
258,0,14127,543,0,61,0,393000,20878842,237,0.3499138889,2020,822.0,429,47,2262,1
259,0,16467,278,0,24,0,393000,20878842,237,0.3399441718,2020,380.0,431,55,2282,1
260,0,4984,78,0,9,0,393000,20878842,237,0.3419494118,2020,302.0,431,68,2282,1
261,0,10551,138,0,15,0,393000,20878842,237,0.3376762162,2020,249.0,429,55,2280,1
262,0,3270,42,0,2,0,393000,20878842,237,0.3390379679,2020,229.0,429,68,2236,1
263,0,2809,40,0,0,0,393000,20878842,237,0.3390379679,2020,440.0,429,41,2282,1
264,0,2799,54,0,8,0,393000,20878842,237,0.3482758974,2020,478.0,431,43,2018,1
265,0,3439,53,0,1,0,393000,20878842,237,0.3487459184,2020,369.0,429,50,2268,1
266,0,3955,98,0,5,0,393000,20878842,237,0.3532532338,2020,325.0,429,43,2270,1
267,0,9312,123,0,5,0,393000,20878842,237,0.3466121951,2020,271.0,429,45,2293,1
268,0,15692,378,0,12,0,393000,20878842,237,0.3551907407,2020,455.0,429,56,2270,1
269,1,8015846,179491,0,8261,1,1850000,74531687,104,0.3487272772,2017,1478.0,243,63,1290,1
270,1,2180376,46467,0,2665,0,1850000,74531687,104,0.3483794722,2018,1185.0,148,60,1008,1
271,1,2022109,34009,0,2737,0,1850000,74531687,104,0.3332482426,2018,895.0,80,51,1008,1
272,1,1074422,19051,0,1282,0,1850000,74531687,104,0.3281334661,2018,595.0,101,52,310,1
273,1,1431987,23948,0,3871,0,1850000,74531687,104,0.3016944294,2018,622.0,61,56,312,1
274,1,685979,9554,0,1769,0,1850000,74531687,104,0.2926206141,2018,799.0,71,66,343,1
275,1,420865,6280,0,552,1,1850000,74531687,104,0.2909417351,2018,514.0,0,86,466,1
276,1,424612,6033,0,353,0,1850000,74531687,104,0.2920569578,2018,418.0,52,54,231,1
277,1,1259549,24269,0,1243,0,1850000,74531687,104,0.2960095841,2018,696.0,133,61,324,1
278,1,479348,9772,0,485,0,1850000,74531687,104,0.2968120155,2018,555.0,0,62,621,1
279,1,266695,4307,0,313,0,1850000,74531687,104,0.2983101697,2018,494.0,60,45,203,1
280,1,222341,4600,0,314,0,1850000,74531687,104,0.2987713164,2018,441.0,103,59,258,1
281,1,181285,3200,0,302,0,1850000,74531687,104,0.2986123193,2018,493.0,78,47,243,1
282,1,703466,14730,0,453,0,1850000,74531687,104,0.2984673424,2018,1216.0,47,79,599,1
283,1,444563,8921,0,583,0,1850000,74531687,104,0.2966086438,2018,2148.0,232,60,548,1
